Number;Subsystem;Description;Designation;Supply Temp;Target Temp;Flow heat capacity;HTC;Stream cost
;;;;T_in;T_out;f;htc;_cost
;;;;K;K;kW/K;kW/m2-K;$/kW-y
1;Kemp;F2 - Hot process stream;Hot;443.15;333.15;3.0;1;0
2;Kemp;F4 - Hot process stream;Hot;423.15;303.15;1.5;1;0
1;Kemp;F1 - Cold process stream;Cold;293.15;408.15;2.0;1;0
2;Kemp;F3 - Cold process stream;Cold;353.15;413.15;4.0;1;0
1;Utility;Steam;Hot Utility;473.15;473.15;;5;80
1;Utility;Cooling Water;Cold Utility;293.15;303.15;;1;15
;;;;;;;;
Number;Subsystem;Description;Designation;HX unit cost;HX area coefficient;HX area exponent;;
;;;;unit_cost;_coeff;A_exp;;
;;;;$/y;$/m2-y;;;
1;Kemp;Process-process HX;Exchange;5500;150;1;;
1;Utility;Process-heater HX;Heating;5500;150;1;;
1;Utility;Process-cooler HX;Cooling;5500;150;1;;
